postgres-1  | 2025-10-21 05:09:20.786 UTC [15685] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:20.786 UTC [15685] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:21.992 UTC [15686] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:21.992 UTC [15686] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:22.889 UTC [15687] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:22.889 UTC [15687] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:23.954 UTC [15688] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:23.954 UTC [15688] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:24.811 UTC [15689] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:24.811 UTC [15689] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:25.756 UTC [15697] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:25.756 UTC [15697] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:26.638 UTC [15698] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:26.638 UTC [15698] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:27.932 UTC [15699] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:27.932 UTC [15699] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:29.143 UTC [15700] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:29.143 UTC [15700] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:30.192 UTC [15708] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:30.192 UTC [15708] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:31.559 UTC [15709] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:31.559 UTC [15709] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:32.714 UTC [15710] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:32.714 UTC [15710] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:33.691 UTC [15711] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:33.691 UTC [15711] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:34.744 UTC [15712] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:34.744 UTC [15712] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:35.633 UTC [15720] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:35.633 UTC [15720] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:36.607 UTC [15721] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:36.607 UTC [15721] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:37.511 UTC [15722] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:37.511 UTC [15722] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:38.437 UTC [15723] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:38.437 UTC [15723] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:39.357 UTC [15724] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:39.357 UTC [15724] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:40.352 UTC [15732] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:40.352 UTC [15732] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:41.375 UTC [15733] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:41.375 UTC [15733] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:42.257 UTC [15734] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:42.257 UTC [15734] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:43.125 UTC [15735] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:43.125 UTC [15735] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:44.118 UTC [15736] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:44.118 UTC [15736] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:45.127 UTC [15737] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:45.127 UTC [15737] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:46.136 UTC [15745] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:46.136 UTC [15745] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:47.285 UTC [15746] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:47.285 UTC [15746] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:48.404 UTC [15747] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:48.404 UTC [15747] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:49.594 UTC [15748] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:49.594 UTC [15748] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:50.520 UTC [15755] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:50.520 UTC [15755] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:51.410 UTC [15756] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:51.410 UTC [15756] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:52.408 UTC [15757] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:52.408 UTC [15757] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
